gene	log2fc	qvalue
DDX11L1	-0.026246383639806227	1.0
MIR1302-11	-0.0019652107894877354	1.0
OR4G4P	0.0	1.0
OR4G11P	0.0	1.0
OR4F5	0.0	1.0
CICP27	0.020693739755442402	1.0
RP11-34P13.9	0.013019496208190822	1.0
OR4F29	0.3928093270601635	0.169018
RP5-857K21.15	0.012989271312389205	1.0
RP4-669L17.1	0.0	1.0
RP5-857K21.2	0.05726393153683053	1.0
MTND1P23	0.42864089510206094	1.0
MTND2P28	0.4095234543204805	1.0
hsa-mir-6723	8.257185096791027	1.0
RP5-857K21.7	0.02380634592767591	1.0
MTATP6P1,MTATP8P1,RP5-857K21.11	5.692050517130567	1.0
WBP1LP6	0.0	1.0
CICP3	0.1310466760405849	1.0
RP11-206L10.4	0.1687613904564607	0.3541
RP11-206L10.9	0.6548608780694968	0.0214512
FAM87B	-0.038982435931865046	1.0
RP11-206L10.11	-0.12570399275868085	0.722916
TUBB8P11	0.04468731514482214	1.0
AL645608.2	0.0065862970980924	1.0
RP11-54O7.1,RP11-54O7.16,RP11-54O7.2	-0.5631495986858541	0.000455461
SAMD11	0.6899498554149225	0.221808
KLHL17	-0.6774015304828869	0.00097974
PLEKHN1	-1.0987694663912357	0.000121354
ISG15	-4.128452374877742	0.000121354
AGRN	-3.660236514449695	0.000121354
RP11-465B22.3	-0.8911245519969405	0.00685971
RP11-465B22.5	0.3888056168854653	0.000121354
MIR200B	0.0	1.0
MIR200A	0.0	1.0
MIR429	0.0	1.0
RP11-465B22.8	3.265723426196859	0.000121354
TTLL10	0.6462034301418903	0.109072
B3GALT6	-1.91535654131431	0.000121354
SCNN1D	-1.7324164084379376	0.000121354
PUSL1	-0.949793445608752	0.182913
GLTPD1	-1.0563794121065042	0.000121354
TAS1R3	-0.11959484453153015	0.687196
RP5-890O3.3	0.0512501938419366	1.0
RP4-758J18.2	-0.17723595332850592	0.555287
RP4-758J18.13	0.4930398562688848	0.000455461
RP4-758J18.7	1.5737064629275048	0.1801
TMEM88B	0.8816974103749005	0.0288463
VWA1	-0.1749271124407627	0.353002
ATAD3C	1.0525623241013164	0.010173
ATAD3B	0.5416172123905301	0.0839682
ATAD3A	-0.5044405854994501	0.0161449
AL645728.1	-0.12495265964057083	0.218429
AL645728.3	0.0	1.0
MIB2	-0.8468163931872055	0.000235208
MMP23B	-0.7198654292189984	0.0401055
RP11-345P4.10	0.022343882389148084	0.950703
RP11-345P4.6,RP11-345P4.7	0.13409527660241613	0.801442
MMP23A	-0.0297076366621309	1.0
RP1-283E3.4	-0.12095849323901652	0.363844
RP1-140A9.1	-0.1630610212720894	0.0833186
CALML6	-0.7821096931826726	0.245801
GABRD	0.031046902899503227	1.0
PRKCZ	0.320259654702017	0.368756
AL590822.2	0.1374206108374542	0.698734
RP11-181G12.4	-0.14277939130696166	0.3401
SKI	-1.6140493874883404	0.000455461
AL589739.1	0.6903342992001533	0.42552
AL513477.1	-0.016174852884151256	0.902658
RER1	-3.2561485692977206	0.000121354
PLCH2	0.5839133708808364	0.000121354
RP3-395M20.12	0.3020234412890437	0.0201357
TNFRSF14	-0.5923753315125222	0.00128192
